uid,text,fluency,omission,addition,repetition,evaluator_name,language_code,eid,team_name,category,triple_count,tripleset,stratum,sample_id,reference_text,system
ga_400,"Tá ceampas an Institiúide Teicneolaíochta Acharya in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore 560090. Tugadh stádas 'Campas Teicniúil' don Institiúid ag Comhairle na hIndia ar Fhoghlaim Teicniúil agus tugadh stádas 'Campas Teicniúil' dó ag Comhairle na hIndia ar Fhoghlaim Teicniúil. Is é an Stiúrthóir an Dr. G.P. Prabhukumar agus is é an tenis ceann de na spóirt a thairgeann an Institiúid.  Tá Comhairle na hIndia ar Fhoghlaim Teicniúil suite i Mumbai.  Bunaíodh Bangalore ag Kempe Gowda I.",2,False,False,False,A006,ga,1232,team_a,University,7,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""<br>All_India_Council_for_Technical_Education | location | Mumbai<br>Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""<br>Bangalore | founder | Kempe_Gowda_I<br>Acharya_Institute_of_Technology | sportsOffered | Tennis<br>Acharya_Institute_of_Technology | city | Bangalore<br>Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education",University#7,0,"""Tá campas Institiúid Teicneolaíochta Acharya suite i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I an Institiúid agus is é an stiúrthóir reatha an Dr. G. P. P. Prabhukumar. Is é ceann de na spóirt ar thairiscint ná leadóg. Thug an Chomhairle Uile-India um Oideachas Teicniúil, atá lonnaithe in Mumbai, an stádas de Champas Teicniúil don Institiúid.""",ref
ga_100,"Tá Institiúid Teicneolaíochta Acharya lonnaithe i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I í agus tá sé faoi stiúir an Dr. G. P. Prabhukumar faoi láthair. Thug Comhairle Uile-India um Oideachas Teicniúil i Mumbai stádas teicniúil an champais dó. Cuireann an institiúid spóirt mar leadóg ar fáil.",4,True,True,True,A008,ga,1232,team_g,University,7,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""<br>All_India_Council_for_Technical_Education | location | Mumbai<br>Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""<br>Bangalore | founder | Kempe_Gowda_I<br>Acharya_Institute_of_Technology | sportsOffered | Tennis<br>Acharya_Institute_of_Technology | city | Bangalore<br>Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education",University#7,0,"""Tá campas Institiúid Teicneolaíochta Acharya suite i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I an Institiúid agus is é an stiúrthóir reatha an Dr. G. P. P. Prabhukumar. Is é ceann de na spóirt ar thairiscint ná leadóg. Thug an Chomhairle Uile-India um Oideachas Teicniúil, atá lonnaithe in Mumbai, an stádas de Champas Teicniúil don Institiúid.""",ref
ga_300,"Tá Institiúid Teicneolaíochta Acharya lonnaithe i Soldevanahalli, Sr. Acharya Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore  560090. Thug an Comhairle Uile-India dOideachas Theicniúil i Mumbai stádas Ceanad na Campas Teicniúil dó. Is é an Dr. G. P. Prabhukumar stiúrthóir aige.",2,False,True,True,A009,ga,1232,team_d,University,7,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""<br>All_India_Council_for_Technical_Education | location | Mumbai<br>Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""<br>Bangalore | founder | Kempe_Gowda_I<br>Acharya_Institute_of_Technology | sportsOffered | Tennis<br>Acharya_Institute_of_Technology | city | Bangalore<br>Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education",University#7,0,"""Tá campas Institiúid Teicneolaíochta Acharya suite i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I an Institiúid agus is é an stiúrthóir reatha an Dr. G. P. P. Prabhukumar. Is é ceann de na spóirt ar thairiscint ná leadóg. Thug an Chomhairle Uile-India um Oideachas Teicniúil, atá lonnaithe in Mumbai, an stádas de Champas Teicniúil don Institiúid.""",ref
ga_0,"Tá Acharya Institute of Technology, atá Dr. G. P. Prabhukumar ina stiúrthóir air, lonnaithe in In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. agus Bangalore. Cuireann sé Leadóg ar fháil mar spórt. Thug All India Council for Technical Education stádas 'Campas Teicniúil' dó agus tá sé lonnaithe i Mumbai. Is bunaitheoir de Bhangalore é Kempe Gowda I.",5,True,True,True,A005,ga,1232,team_b,University,7,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""<br>All_India_Council_for_Technical_Education | location | Mumbai<br>Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""<br>Bangalore | founder | Kempe_Gowda_I<br>Acharya_Institute_of_Technology | sportsOffered | Tennis<br>Acharya_Institute_of_Technology | city | Bangalore<br>Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education",University#7,0,"""Tá campas Institiúid Teicneolaíochta Acharya suite i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I an Institiúid agus is é an stiúrthóir reatha an Dr. G. P. P. Prabhukumar. Is é ceann de na spóirt ar thairiscint ná leadóg. Thug an Chomhairle Uile-India um Oideachas Teicniúil, atá lonnaithe in Mumbai, an stádas de Champas Teicniúil don Institiúid.""",ref
ga_200,"""Tá campas Institiúid Teicneolaíochta Acharya suite i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I an Institiúid agus is é an stiúrthóir reatha an Dr. G. P. P. Prabhukumar. Is é ceann de na spóirt ar thairiscint ná leadóg. Thug an Chomhairle Uile-India um Oideachas Teicniúil, atá lonnaithe in Mumbai, an stádas de Champas Teicniúil don Institiúid.""",3,False,False,True,A007,ga,1232,refs,University,7,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""<br>All_India_Council_for_Technical_Education | location | Mumbai<br>Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""<br>Bangalore | founder | Kempe_Gowda_I<br>Acharya_Institute_of_Technology | sportsOffered | Tennis<br>Acharya_Institute_of_Technology | city | Bangalore<br>Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education",University#7,0,"""Tá campas Institiúid Teicneolaíochta Acharya suite i Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Bhunaigh Kempe Gowda I an Institiúid agus is é an stiúrthóir reatha an Dr. G. P. P. Prabhukumar. Is é ceann de na spóirt ar thairiscint ná leadóg. Thug an Chomhairle Uile-India um Oideachas Teicniúil, atá lonnaithe in Mumbai, an stádas de Champas Teicniúil don Institiúid.""",ref
ga_401,Ba mhac John Mills é Hayley Mills.,2,False,False,True,A006,ga,1688,team_d,Film,1,John_Mills | child | Hayley_Mills,Film#1,1,Is leanbh le John Mills í Hayley Mills.,ref
ga_101,Bhí Hayley Mills ina bhean chéile John Mills.,4,False,False,True,A008,ga,1688,team_a,Film,1,John_Mills | child | Hayley_Mills,Film#1,1,Is leanbh le John Mills í Hayley Mills.,ref
ga_301,Is páiste de John Mills í Hayley Mills.,2,True,True,True,A009,ga,1688,team_b,Film,1,John_Mills | child | Hayley_Mills,Film#1,1,Is leanbh le John Mills í Hayley Mills.,ref
ga_1,Is leanbh le John Mills í Hayley Mills.,5,True,True,True,A005,ga,1688,refs,Film,1,John_Mills | child | Hayley_Mills,Film#1,1,Is leanbh le John Mills í Hayley Mills.,ref
ga_201,Is é John Mills tuismitheoir Hayley Mills.,5,True,True,True,A007,ga,1688,team_g,Film,1,John_Mills | child | Hayley_Mills,Film#1,1,Is leanbh le John Mills í Hayley Mills.,ref
